iter	RMSE
0	14.8442425
1	14.14150493
2	13.51320814
3	12.81447804
4	12.20787049
5	11.62676787
6	11.15648387
7	10.71751492
8	10.24467821
9	9.833731427
10	9.533639643
11	9.273943281
12	8.902371493
13	8.54930525
14	8.216107962
15	7.918088755
16	7.632728223
17	7.415534488
18	7.172894686
19	7.015528763
20	6.832229133
21	6.674690921
22	6.523215325
23	6.391840577
24	6.262255167
25	6.08777405
26	5.991080908
27	5.875178212
28	5.766942095
29	5.679699156
30	5.56704642
31	5.465059624
32	5.371836541
33	5.297628093
34	5.229711766
35	5.168048587
36	5.10622683
37	5.056508171
38	5.024108408
39	4.961457236
40	4.893760333
41	4.849156881
42	4.800287856
43	4.731350717
44	4.689230204
45	4.651269349
46	4.611683744
47	4.583499267
48	4.553307898
49	4.52288951
50	4.479665524
51	4.441184888
52	4.413492257
53	4.395896027
54	4.357823987
55	4.302523616
56	4.254967991
57	4.21456552
58	4.184902147
59	4.149920104
60	4.105713695
61	4.094765045
62	4.069875303
63	4.042946078
64	4.015170757
65	3.987718943
66	3.96627473
67	3.94108757
68	3.884080948
69	3.858538226
70	3.818443165
71	3.805145691
72	3.774459988
73	3.755918153
74	3.734391316
75	3.709377403
76	3.695863764
77	3.678178953
78	3.656742816
79	3.632005111
80	3.613363964
81	3.585841796
82	3.578882487
83	3.554996551
84	3.524329204
85	3.502474356
86	3.485334334
87	3.473240108
88	3.460391814
89	3.440561211
90	3.427898607
91	3.397410677
92	3.386565687
93	3.37960562
94	3.363364753
95	3.359241251
96	3.334648109
97	3.321414816
98	3.288125448
99	3.276507642
