iter	Passed	Remaining
0	1	138
1	2	137
2	4	133
3	5	127
4	6	128
5	8	126
6	9	129
7	11	128
8	12	130
9	14	127
10	15	125
11	16	123
12	18	122
13	19	120
14	20	117
15	22	119
16	23	117
17	25	115
18	26	114
19	28	114
20	29	112
21	31	110
22	32	109
23	34	108
24	35	107
25	37	105
26	38	103
27	40	103
28	41	101
29	42	99
30	44	98
31	45	97
32	46	95
33	48	93
34	49	92
35	51	91
36	53	90
37	54	88
38	55	87
39	57	85
40	58	83
41	59	82
42	61	81
43	62	79
44	63	78
45	65	76
46	66	75
47	68	73
48	69	72
49	70	70
50	72	69
51	73	68
52	75	66
53	77	65
54	78	64
55	80	62
56	81	61
57	82	59
58	83	58
59	85	56
60	86	55
61	87	53
62	88	52
63	89	50
64	91	49
65	92	47
66	93	46
67	94	44
68	96	43
69	97	41
70	98	40
71	99	38
72	100	37
73	102	35
74	104	34
75	105	33
76	107	31
77	108	30
78	109	29
79	111	27
80	112	26
81	113	25
82	115	23
83	116	22
84	117	20
85	118	19
86	120	17
87	121	16
88	122	15
89	123	13
90	124	12
91	126	10
92	127	9
93	128	8
94	129	6
95	130	5
96	132	4
97	133	2
98	134	1
99	135	0
