iter	RMSE
0	14.38331154
1	13.91094454
2	13.52230609
3	13.15075483
4	12.79906827
5	12.41156943
6	12.09484134
7	11.80533631
8	11.4527163
9	11.12001279
10	10.80764107
11	10.56588236
12	10.30282727
13	10.0246072
14	9.791551352
15	9.554445719
16	9.320215194
17	9.097926062
18	8.899276348
19	8.703358888
20	8.533450602
21	8.35692651
22	8.210055826
23	8.051451963
24	7.897703966
25	7.761840115
26	7.652047255
27	7.532937293
28	7.414926281
29	7.323363876
30	7.240948736
31	7.159567215
32	7.057403048
33	6.981626926
34	6.895254891
35	6.803888126
36	6.733153251
37	6.66269481
38	6.605170245
39	6.532052928
40	6.465307522
41	6.413845955
42	6.356100147
43	6.303078456
44	6.262901533
45	6.212456208
46	6.171919953
47	6.133178562
48	6.090202368
49	6.050324035
50	6.008358087
51	5.978770689
52	5.951720144
53	5.923058997
54	5.891258798
55	5.867538456
56	5.845797822
57	5.819437202
58	5.796399948
59	5.773735896
60	5.751155531
61	5.722574731
62	5.702824663
63	5.684162159
64	5.666337143
65	5.646390708
66	5.635218011
67	5.617645831
68	5.600518587
69	5.585337199
70	5.572295402
71	5.558906415
72	5.544719505
73	5.533018659
74	5.513323224
75	5.503216068
76	5.485699327
77	5.474312672
78	5.466911836
79	5.455877472
80	5.4512986
81	5.440006754
82	5.430634924
83	5.41606074
84	5.408191993
85	5.399940867
86	5.392512273
87	5.382758931
88	5.378610932
89	5.372705696
90	5.367488545
91	5.358198389
92	5.353842245
93	5.342693681
94	5.335001905
95	5.32818892
96	5.321765998
97	5.316304961
98	5.311648813
99	5.303633469
100	5.299621705
101	5.292946025
102	5.289507883
103	5.284452776
104	5.282084882
105	5.274980402
106	5.270034889
107	5.26412132
108	5.256369528
109	5.250959154
110	5.247305739
111	5.240300373
112	5.23335993
113	5.227852266
114	5.221960757
115	5.217520115
116	5.213301754
117	5.206088391
118	5.197426959
119	5.192927983
120	5.186926567
121	5.182497325
122	5.175596387
123	5.172706561
124	5.168269531
125	5.164469487
126	5.158887927
127	5.153516873
128	5.150959536
129	5.148653235
130	5.142870955
131	5.140098989
132	5.136153871
133	5.130893933
134	5.128826959
135	5.126269774
136	5.121093463
137	5.118785135
138	5.114650324
139	5.111205642
140	5.107771672
141	5.104476939
142	5.099586316
143	5.095546283
144	5.092687726
145	5.089891418
146	5.083713058
147	5.08161831
148	5.075762809
149	5.071810189
150	5.067250117
151	5.062791184
152	5.059689997
153	5.056605709
154	5.050894717
155	5.045799309
156	5.043692302
157	5.039267689
158	5.031057833
159	5.025315178
160	5.021574603
161	5.01717637
162	5.012834653
163	5.007290657
164	5.002610843
165	5.000512756
166	4.996258556
167	4.991234432
168	4.989000616
169	4.984648306
170	4.976603941
171	4.969965655
172	4.964194555
173	4.959035955
174	4.956175
175	4.951068223
176	4.946235641
177	4.943860572
178	4.936804959
179	4.931703509
180	4.929358648
181	4.926425351
182	4.916881964
183	4.908125478
184	4.904468201
185	4.901783525
186	4.896508275
187	4.892211685
188	4.888494941
189	4.884122205
190	4.880854895
191	4.875745026
192	4.869645447
193	4.865936764
194	4.861803245
195	4.856213795
196	4.850691793
197	4.841575853
198	4.837233188
199	4.83281317
