iter	Passed	Remaining
0	1	262
1	2	239
2	3	222
3	4	214
4	5	212
5	6	208
6	7	203
7	8	197
8	9	193
9	9	189
10	10	186
11	11	183
12	12	182
13	13	181
14	14	180
15	15	178
16	16	176
17	17	172
18	17	170
19	18	168
20	20	170
21	20	168
22	21	167
23	22	165
24	23	164
25	24	163
26	25	161
27	26	160
28	27	159
29	28	159
30	28	157
31	29	156
32	30	155
33	31	154
34	32	153
35	33	152
36	34	152
37	35	151
38	36	150
39	37	149
40	38	147
41	38	146
42	39	145
43	40	144
44	41	143
45	42	142
46	43	141
47	44	140
48	45	139
49	45	137
50	46	136
51	47	135
52	48	135
53	49	133
54	50	132
55	51	131
56	51	129
57	52	128
58	53	127
59	54	126
60	55	125
61	55	124
62	56	123
63	57	121
64	58	120
65	58	119
66	59	118
67	60	117
68	61	116
69	62	116
70	63	115
71	64	114
72	64	113
73	65	111
74	66	110
75	67	109
76	68	108
77	68	107
78	69	107
79	70	106
80	71	104
81	72	103
82	72	102
83	73	101
84	74	100
85	75	99
86	76	98
87	77	98
88	77	97
89	78	96
90	79	95
91	80	94
92	80	93
93	81	92
94	82	91
95	83	90
96	84	89
97	85	88
98	85	87
99	86	86
100	87	85
101	88	84
102	89	83
103	89	82
104	90	81
105	91	81
106	92	80
107	92	79
108	93	78
109	94	77
110	95	76
111	95	75
112	96	74
113	97	73
114	98	72
115	99	71
116	99	70
117	100	69
118	101	69
119	102	68
120	102	67
121	103	66
122	104	65
123	105	64
124	106	63
125	106	62
126	107	61
127	108	60
128	109	60
129	109	59
130	110	58
131	111	57
132	112	56
133	113	55
134	113	54
135	114	53
136	115	52
137	115	52
138	116	51
139	117	50
140	118	49
141	119	48
142	119	47
143	120	46
144	121	46
145	122	45
146	122	44
147	123	43
148	124	42
149	126	42
150	127	41
151	128	40
152	129	39
153	129	38
154	130	37
155	131	37
156	132	36
157	133	35
158	134	34
159	135	33
160	136	32
161	136	32
162	137	31
163	138	30
164	139	29
165	140	28
166	141	28
167	142	27
168	143	26
169	144	25
170	145	24
171	145	23
172	146	22
173	147	22
174	148	21
175	149	20
176	150	19
177	151	18
178	152	17
179	152	16
180	153	16
181	154	15
182	155	14
183	156	13
184	157	12
185	157	11
186	158	11
187	159	10
188	160	9
189	161	8
190	162	7
191	163	6
192	163	5
193	164	5
194	165	4
195	166	3
196	167	2
197	167	1
198	168	0
199	169	0
